iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
2001,5,21,Oregon,Clatskanie,46.103654,-123.204304,"at Jefferson Poplar Farm at 79114 Collins Road five miles north of Clatskanie, OR","05/21/2001: Five members of the Animal and Earth Liberations Fronts (ALF and ELF),  Stanislas Meyerhoff, Suzanne Savoie, Daniel McGowan, Nathan Block, and Joyanna Zacher, destroyed two buildings, a trailer, and a total of 18 vehicles, in an arson they set using time-delayed incendiary devices, at Jefferson Poplar Farms just outside of Clatskanie, Oregon in the United States.  In addition to the two devices which ignited outside the destroyed buildings, three more incendiaries failed to function at a third building.  A storage building near by was spray painted with the words, ""ELF,"" and ?YOU CANNOT CONTROL WHAT IS WILD!""  The total property loss was $994,412.  There were no casualties in the incident.  The perpetrators sent out a communiqu?, claiming the incident in the name of ELF, and stating Jefferson Poplar Farm was targeted ""because hybrid poplars are an ecological nightmare threatening native biodiversity in the ecosystem. Our forests are being liquidated and replaced with monocultured tree farms so greedy, earth raping corporations can make more money.""  This incident was one in a series of two on the same day, the second arson targeting the University of Washington's Horticulture Center in Seattle (52101).  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",1,1,0,7,Facility/Infrastructure Attack,,.,1,Business,9,Farm/Ranch,Jefferson Poplar Farms,"buildings and vehicles at a farm which harvested hybrid poplar and cottonwood trees to be used in the manufacture of paper, outside Clatskanie, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"The farm harvested trees used in the manufacture of paper-trees which the perpetrators believed were an ""ecological nightmare threatening native biodiversity in the ecosystem.""",5,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"buckets of fuel, timing devices, and gasoline-soaked cloth sheets to connect the vehicles",0,0,0,0,0,1,3,Minor (likely < $1 million),994412,"destroyed two buildings, a trailer, and 18 vehicles","The incident occurred at about 2:23 a.m., and was one in a series of two attacks on this day.  The second was an arson at the Horticulture Center at the University of Washington in Seattle.  The perpetrators were part of a group calling themselves ""The Family, ""which was made up of members of both ELF and ALF, and various combinations of members from the group committed nearly 20 arson and ecotage attacks over a 6 year period.  Meyerhoff was sentenced to 13 years in prison, Savoie was sentenced to 4 years and 3 months, McGowan to 7 years, and Block and Zacher were each sentenced to 92 months in prison, for their respective involvement in various incidents over the course of the 6 years.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.",Eco Project 2010
1999,5,9,Oregon,Eugene,44.04992,-123.088544,The incident occurred at 29476 Airport Road.,"05/09/1999: Six members of the Animal and Earth Liberations Fronts (ALF and ELF),  Jacob Ferguson, Stanislas Meyerhoff, Kevin Tubbs, Josephine Overaker, Chelsea Gerlach, and a sixth individual, placed two incendiary devices on the exterior of the office of the Childers Meat Company in Eugene, Oregon in the United States.  One incendiary was placed in the southwest corner of the entrance alcove and the second one on the west side between two buildings.  The blasts caused the building to be completely destroyed, with damage estimated at $1,177,000.  There were no casualties in the incident.  On May 27, the perpetrators sent out a communiqu?, claiming responsibility for the arson in the name of ""ALF,"" stating that the devices were purposefully placed near a natural gas line, and that ""As long as companies continue to operate and profit off of Mother Earth and Her sentient beings, the Animal Liberation Front will continue to target these operations and their insurance companies until they are all out of business.""  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,5,Industrial/Textiles/Factory,Childers Meat Company,"meat company in Eugene, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"The group was against operation and profit from ""Mother Earth and Her sentient beings;""  protest of the meat and dairy industry's treatment of cows.",6,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"four containers of a diesel and gasoline mixture, placed at two locations in the office, ignited via timed ignition devices.",0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1177000,building destroyed,"Incident occurred at about 3:10am.  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.  Ferguson became a government witness and in return, was sentenced to 2 years probation for his crimes during this 6 year period.  Tubbs was sentenced to 12 years and 7 months in prison; Meyerhoff was sentenced to 13 years in prison; Gerlach was sentenced to 9 years; Overtaker remained fugitive. The sixth perpetrator's name had not been released because he/she had not yet been indicted as of 2007.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","FBI, ""Terrorism in the United States: 1999,"" Counterterrosism Threat Assessment and Warning Unit, Counterterrorism Division, FBI, DOJ, 1999.","Eric Collins, ""Animal Rights Group Says It Started Fire at Oregon Meat Plant,"" The Register Guard, June 1, 1999.",Eco Project 2010
2000,5,27,Oregon,Eugene,44.04992,-123.088544,"at Tyree Oil Company on Blair Road in Eugene, OR","05/27/2000: Two environmental activists and anarchists, Jeffrey Luers and Craig Marshall, were responsible for an attempted arson of trucks at the Tyree Oil Company in Eugene, Oregon in the United States.  The two placed a section of cloth, which was draped over a gallon milk jug filled with a fuel and soap mixture, in the fuel tank of a double-trailer fuel truck. Then,  crude delay devices were used to try to ignite that jug and another one also rigged to the vehicle; however, both delays failed to ignite the jugs.  According to authorities, the potential blast could have caused damage over two city blocks.  The two men were indicted for this and an arson the following month.  Leurs was found guilty and initially sentenced to 22 years in prison for the two incidents, but the sentence was later reduced to 10 years. Marshall plea bargained, and was sentenced to 5.5 years in prison.",0,0,0,7,Facility/Infrastructure Attack,,.,1,Business,1,Gas/Oil,Tyree Oil Inc.,"Tyree Oil trucks in Eugene, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),The specific motive is unknown.,2,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"cloth, which was draped over a gallon milk jug filled with a fuel and soap mixture, placed in the fuel tank of a double-trailer fuel truck; crude delay devices used to try to ignite that jug and another one also rigged to the vehicle",0,0,0,0,0,0,,.,,,The perpetrators were also responsible and sentenced for an arson at a car dealership the next month (61600).,"Rebecca Taylor, ""Activist's arson sentence reduced,"" Eugene Register-Guard, February 29, 2008.","""Grand jury indicts two anarchists on arson charges,"" Associated Press State & Local Wire, June 24, 2000.","Allison Tallmadge, ""Activist found guilty of Arson, Faces measure 11 sentence,"" The Oregonian, June 6, 2001.",Eco Project 2010
2000,6,16,Oregon,Eugene,44.04992,-123.088544,On Franklin Boulevard,"06/16/2000: Two environmental activists and anarchists, Jeffrey Luers and Craig Marshall, were responsible for setting arson, suspectedly via the use of bombs, at the Joe Romania Chevrolet dealership in Eugene, Oregon in the United States.  The arson destroyed three pick up trucks including a 2000 Silverado, causing about $40,000 in damages. There were no casualties in the incident. The two men were indicted for this and an attempted arson the previous month.  Leurs was found guilty and initially sentenced to 22 years in prison for the two incidents, but the sentence was later reduced to 10 years. Marshall plea bargained, and was sentenced to 5.5 years in prison.",0,1,0,3,Bombing/Explosion,,.,1,Business,7,Retail/Grocery/Bakery,Joe Romania Chevrolet,"trucks at Chevrolet dealership in Eugene, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"The specific motive is unknown; however the incident occurred during a series of events which became known as the ""Seven Weeks Revolt,"" held by local activists.",2,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,bombs suspected as cause of arson,0,0,0,0,0,1,3,Minor (likely < $1 million),40000,three pickup trucks destroyed,The perpetrators were also responsible and sentenced for an attempted arson at an oil company the previous month (52700).,"Allison Tallmadge, ""Activist found guilty of Arson, Faces measure 11 sentence,"" The Oregonian, June 6, 2001.","Allison Tallmadge, ""Opening Arguments begin in arson trial,"" The Oregonian, May 31, 2001.","""Two suspects plead not guilty to arson, bomb charges in truck sales lot fire,"" Eugene Register-Guard, June 24, 2000.",Eco Project 2010
2000,9,6,Oregon,Eugene,44.045558,-123.080222,"at the West University Public Safety Substation at 791 East 13th Avenue in Eugene, OR","09/06/2000: Three members of the Earth and Animal Liberations Fronts (ELF and ALF),  Stanislas Meyerhoff, Kevin Tubbs, and Chelsea Gerlach, placed two incendiary devices at the West University Public Safety Substation of the Eugene Police Department in Eugene, Oregon in the United States.  One of the firebombs, placed inside the basket of a bicycle and leaned against the building, caused a small fire, which was quickly extinguished. The second device did ignite, but was extinguished inside the backpack, within which it was placed.  The damage to the building was minimal, estimated at $1,750.  There were no casualties in the incident.  The perpetrators chose the building as a target because they believed it would be popular with activists in the community, after police reaction to recent street protests. No communiqu? was released, and there were no claims for responsibility of the incident. The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,3,Police,22,"Police Building (headquarters, station, school)",Eugene Police Department,West University Public Safety Substation of the Eugene Police Department,217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"The perpetrators believed the police substation would be a popular target with activists in the community, especially after police reaction to recent protests.",3,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),1750,damage to windows and nearby vehicle,"The fire was discovered at about 4:15am.  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Tubbs was sentenced to 12 years and 7 months in prison, Meyerhoff was sentenced to 13 years in prison, and Gerlach was sentenced to 9 years, for their respective involvement in various incidents over the course of the 6 years.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","""News Briefs,"" Associated Press, May 1, 2001.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.",Eco Project 2010
2001,3,30,Oregon,Eugene,44.043266,-123.061512,"at the Romania Chevrolet Truck Center lot at 1425 Walnut Street in Eugene, OR","3/30/2001: Five members of the Animal and Earth Liberations Fronts (ALF and ELF),  Stanislas Meyerhoff, Kevin Tubbs, William Rodgers, Nathan Block, and Joyanna Zacher, used an incendiary device and fuel soaked cloths to set arson to the Romania Chevrolet Truck Center lot in Eugene, Oregon in the United States, causing damage to 35 sport utility vehicles (SUVs), all 2001 Chevrolet Suburbans or Tahoes.  The total property loss was $959,000.  There were no casualties in the incident.  The site was chosen as a ?statement of defiance,? in honor of Jeffrey Luers, another environmentalist, who had been charged for an earlier arson at the same location.  The perpetrators sent out an anonymous communiqu? (making no reference of ELF), claiming responsibility for the arson, speaking out against the prison system, and stating, ""the techno-industrial state thinks it can stop the growing resistance by jailing some of us, but they cannot jail the spirit of those who know another world is possible.""  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,4,Multinational Corporation,Romania Chevrolet Truck Center,sport utility vehicles at the Romania Chevrolet Truck Center lot,217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"The site was chosen as a ?statement of defiance,? in honor of Jeffrey Luers, another environmentalist, who had been charged for an earlier arson at the same location; to speak out against the prison system",5,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"more than 20 two-gallon containers filled with gasoline and sheets of cloth soaked in gasoline, joining the vehicles",0,0,0,0,0,1,3,Minor (likely < $1 million),959000,destroyed 35 SUVs,"The incident occurred at approximately 2:40 a.m. The communiqu? made no reference to ELF or ALF, but it was discovered through court documents that the perpetrators who committed the incident were part of a group calling themselves ""The Family, ""which was made up of members of both ELF and ALF, and various combinations of members from the group committed nearly 20 arson and ecotage attacks over a 6 year period.  Tubbs was sentenced to 12 years and 7 months in prison, Meyerhoff was sentenced to 13 years in prison, Block and Zacher were each sentenced to 92 months in prison, and William Rodgers committed suicide while in custody awaiting transportation back to Oregon.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.",Eco Project 2010
1998,6,21,Washington,Olympia,47.039225,-122.891429,"at the U.S.D.A. Animal Plant Health Inspection Service (APHIS), which was housed in the Forest Land Management Center at 9701 Blomberg Street SW, Olympia, Washington","06/21/1998: Three members of the Animal and Earth Liberation Fronts (ALF and ELF) placed and ignited six five-gallon buckets of fuel at three different places on the exterior of the U.S.D.A. Animal Plant Health Inspection Service (APHIS), which was housed in the Forest Land Management Center in Olympia, Washington in the United States.  The fires were started with a fire starter and a lit fuel-soaked sponge, which were thrown into the buckets of fuel.  The fire spread to the building, causing an estimated $1,200,000 damage to the building and contents.  There were no casualties in the incident. A few hours after the APHIS arson, the perpetrators set incendiary devices at the  U.S.D.A. Animal Damage Control (ADC) facility, also in Olympia, Washington, only about 12 miles from the APHIS building. The groups claimed responsibility for the arsons in letter, stating that the acts were a ""great cleansing process"" and ""This war on wildlife and nature must end! We will not stop until it does."" The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",1,1,0,7,Facility/Infrastructure Attack,,.,2,Government (General),18,"Government Personnel (excluding police, military)",US Department of Agriculture,"Animal Plant Health Inspection Service (APHIS, US Department of Agriculture",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"To cleanse the ""wildlife of the great Pacific Northwest and the forests they call home"" of ""facilities which make it a daily routine to kill and destroy wildlife,'' the groups said in a joint statement.",3,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,Six five-gallon buckets of fuel ignited with fire-starters and lit fuel soaked sponges,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1200000,,"The incident occurred at about 2:40am.  This is linked to the second arson at the ADC facility also in Olympia, not far from the APHIS building (621982).  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Ferguson became a government informant and witness, landing him a sentence of 2 years probation, Tubbs was sentenced to 12 years and 7 months in prison for his involvement in various arson incidents, and Rodgers committed suicide while in custody at an Arizona jail in 2005. Joseph Dibee and Josephine Overaker were also involved in the extensive research and planning of these arsons, but were not at the scenes.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","David Ammons, ""Animal-Rights Groups Admit Setting Fires,"" The Oregonian, July 2, 1998.","Brent L. Smith and Kelly R. Damphousse, "" Patterns of precursor behaviors in the life span of a U.S. environmental terrorist group,"" Criminology & Public Policy, Volume 8, Issue 3, 2009.",Eco Project 2010
1998,6,21,Washington,Olympia,47.039225,-122.891429,"at the U.S.D.A Animal Damage Control (ADC) facility at 720 Oleary Street Northwest in Olympia, Washington","06/21/1998: Three members of the Animal and Earth Liberation Fronts (ALF and ELF) placed and ignited two incendiary devices outside the U.S.D.A. Animal Damage Control (ADC) facility in Olympia, Washington in the United States.  Each device, consisting of two five-gallon plastic buckets filled with a mixture of gasoline, heavy petroleum distillate and detergent, functioned properly and the fire spread to a wood fiber/paraffin solid fuel mixture and then to the bucketed fuel.  There were no casualties in the incident. The fire caused approximately $500,000 in damage.  A few hours prior to the ADC arson, the perpetrators ignited fuel filled buckets at the  U.S.D.A. APHIS facility, also in Olympia, Washington, only about 12 miles from the ADC building. The groups claimed responsibility for the arsons in communiqu?, stating that the acts were a ""great cleansing process"" and ""This war on wildlife and nature must end! We will not stop until it does.""  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",1,1,0,7,Facility/Infrastructure Attack,,.,2,Government (General),21,Government Building/Facility/Office,US Department of Agriculture,Animal Damage Control (ADC) facility,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"To cleanse the ""wildlife of the great Pacific Northwest and the forests they call home"" of ""facilities which make it a daily routine to kill and destroy wildlife,'' the groups said in a joint statement.",3,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"two incendiary devices composed of two five-gallon plastic buckets filled with a mixture of gasoline, heavy petroleum distillate and detergent, as well as delayed igniters in which an alarm clock functioned to complete an electric circuit between a 9- volt battery and a lamp filament, which heated up and ignited matches",0,0,0,0,0,1,3,Minor (likely < $1 million),500000,,"The incident occurred at about 4:20am.  This is linked to the prior arson at the APHIS facility also in Olympia, not far from the ADC building (62198).  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Ferguson became a government informant and witness, landing him a sentence of 2 years probation, Tubbs was sentenced to 12 years and 7 months in prison for his involvement in various arson incidents, and Rodgers committed suicide while in custody at an Arizona jail in 2005. Joseph Dibee and Josephine Overaker were also involved in the extensive research and planning of these arsons, but were not at the scenes.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","David Ammons, ""Animal-Rights Groups Admit Setting Fires,"" The Oregonian, July 2, 1998.","Brent L. Smith and Kelly R. Damphousse, "" Patterns of precursor behaviors in the life span of a U.S. environmental terrorist group,"" Criminology & Public Policy, Volume 8, Issue 3, 2009.",Eco Project 2010
2000,5,7,Washington,Olympia,47.039225,-122.891429,,"05/07/2000: A previously unknown group called ""Revenge of the Trees"" claimed credit for an arson at Holbrooke Inc. (A small timber company) in Olympia, Washington, U.S.A.  The arson caused approximately $150,000 in damages.  The North American Earth Liberation Front Press office issue a communiqu? claiming responsibility three weeks after the arson. In the communiqu?, Revenge of the Trees made statements condemning capitalism and pledging their commitment to the destruction of the cabalist system.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,5,Industrial/Textiles/Factory,Holbrooke. Inc.,"Headquarters building of Holbrooke Inc. in Olympia, Washington",217,United States,,.,,.,,,,.,,.,,.,,,,.,Revenge of the Trees,Unknown,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),150000,The fire damaged a building.,,"FBI ""Terrorism in the United States 2000/2001"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","Paul Shukovsky, ""Animal-rights activist arrested. Case shines light on FBI's efforts to dismantle liberation fronts,"" Seattle Post Intelligencer, January 5, 2004.",,CETIS
2008,5,26,Oregon,Medford,42.32356,-122.875614,"The incident occurred at a house on the corner of Benson and Prune streets in Medford, Oregon, United States.","05/26/2008: On Monday, at 2300, three unidentified vandals left an IED on a yard in Medford, Oregon, United States. The letters ""KKK"" and a cross were also burnt into the grass. No group claimed responsibility for the attack and no casualties were reported.",0,1,0,7,Facility/Infrastructure Attack,,.,14,Private Citizens & Property,76,House/Apartment/Residence,,The yard of a civilian family,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),The specific motive for the attack is unknown.,3,8,Incendiary,18,Arson/Fire,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,Fire was used to burn the grass.,0,0,0,0,0,1,3,Minor (likely < $1 million),,The letters ?KKK? and a cross were burnt into the grass.,,"Bill Jacobs, ""Hate Crime Suspects Arraigned,"" KAJO, http://www.kajo.com/news/local/stories.php?subaction=showfull&id=1212497252&archive=&start_from=&ucat=.","NBC News, ""Medford Police Continue Lawn ""KKK"" Fire,"" KOBI, http://www.localnewscomesfirst.com/index.php?option=com_content&task=view&id=1987&Itemid=2.",,ISVG
1998,12,26,Oregon,Medford,42.357411,-122.861072,"at the U.S. Forest Industries office at 2611 Whittle Ave in Medford, OR","12/26/1998: In a fax received by The Associated Press, members of the Earth Liberation Front (ELF) claimed responsibility for setting fire to the U.S. Forest Industries headquarters office in Medford, Oregon in the United States, causing about $990,220 in damage.  The arson was caused by an incendiary, composed of two five-gallon buckets filled with a fuel mixture and timing devices, which was placed in front of the building behind some bushes. There were no casualties in the incident.  The communiqu? sent to AP and also published in an Internet news release from the Animal Liberation Frontline Information Service, stated that the act was performed as retaliation for the forests and animals lost to ""feed the wallets of greedy"" corporations. The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,2,Government (General),21,Government Building/Facility/Office,U.S. Forest Industries,"U.S. Forest Industries headquarters office in Medford, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"ELF was against logging of private lands, and the incident was in retaliation for the wild forest lands and animals that were lost to feed ""greedy"" people.",4,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,two five-gallon buckets of diesel/unleaded mix and a one gallon jug with cigarette delays,0,0,0,0,0,1,3,Minor (likely < $1 million),990220,,"The perpetrators had initially placed the incendiary devices at the U.S. Forest Industries building on December 22, but after a few days passed and the group hadn't heard anything about a fire in the news, they went back to check on the devices on December 26, and noticed that they hadn't ignited and much of the fuel had evaporated. Thus, they created a new ignition device from sponges, matches and a cigarette, which proceeded to cause the $990,000 arson.  Ferguson became a government informant and witness in exchange for 2 years probation, Tubbs was sentenced to 12 years and 7 months in prison for his involvement in various arson incidents including this case, Tankersley was sentenced to 3 years and 10 months for her involvement in various arson incidents including this case, and Rubin remained fugitive.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","""ELF claims responsibility for fire,"" Associated Press State & Local Wire, January 17, 1999.","""Six arrested on federal arson and property destruction indictments,"" States News Service, Portland, Oregon, December 8, 2005.",Eco Project 2010
